burst,channelSeed,bits,decoded,errors,firstErr,lastErr,collapses,uncodedErrs,deepFadeErrs,turboC,turboR,turboA,turboS,reason
0,10505,106464,106496,0,-1,-1,3,5983,2316,13,0,0,0,Eom
1,11505,106464,106496,0,-1,-1,3,6076,1772,13,0,0,0,Eom
2,12505,106464,106496,0,-1,-1,7,6919,3453,13,0,0,0,Eom
3,13505,106464,106496,0,-1,-1,3,6624,2819,13,0,0,0,Eom
4,14505,106464,106496,0,-1,-1,2,6492,2643,13,0,0,0,Eom
5,15505,106464,106496,0,-1,-1,10,6271,2274,13,0,0,0,Eom
6,16505,106464,106496,0,-1,-1,5,6306,2416,13,0,0,0,Eom
7,17505,106464,106496,0,-1,-1,6,6764,2769,13,0,0,0,Eom
