burst,channelSeed,bits,decoded,errors,firstErr,lastErr,collapses,uncodedErrs,deepFadeErrs,turboC,turboR,turboA,turboS,reason
0,3010514,202720,202752,7,159462,166140,16,39746,10419,11,0,0,0,Eom
1,3011514,202720,202752,5,1333,139630,13,40596,9324,11,0,0,0,Eom
2,3012514,202720,202752,0,-1,-1,9,35029,8651,11,0,0,0,Eom
3,3013514,202720,202752,13,46236,53052,11,40846,10279,11,0,0,0,Eom
