burst,channelSeed,bits,decoded,errors,firstErr,lastErr,collapses,uncodedErrs,deepFadeErrs,turboC,turboR,turboA,turboS,reason
0,502,12256,12288,0,-1,-1,28,15735,2719,8,0,0,0,Eom
1,1502,12256,10752,1504,10752,12255,25,13301,2204,7,0,0,0,SignalLost
2,2502,12256,9216,3040,9216,12255,24,10693,2235,6,0,0,0,SignalLost
3,3502,12256,12288,0,-1,-1,27,15384,2550,8,0,0,0,Eom
4,4502,12256,12288,0,-1,-1,23,15019,2940,8,0,0,0,Eom
5,5502,12256,12288,0,-1,-1,23,14245,1807,8,0,0,0,Eom
6,6502,12256,12288,0,-1,-1,28,14121,2429,8,0,0,0,Eom
7,7502,12256,12288,0,-1,-1,32,14780,2547,8,0,0,0,Eom
8,8502,12256,12288,0,-1,-1,33,16277,2725,8,0,0,0,Eom
9,9502,12256,7680,4576,7680,12255,17,8696,1652,5,0,0,0,SignalLost
10,10502,12256,12288,0,-1,-1,20,15532,2213,8,0,0,0,Eom
11,11502,12256,12288,0,-1,-1,30,14421,2707,8,0,0,0,Eom
12,12502,12256,12288,0,-1,-1,21,15123,2428,8,0,0,0,Eom
13,13502,12256,12288,0,-1,-1,26,15195,3015,8,0,0,0,Eom
14,14502,12256,12288,0,-1,-1,24,14819,2900,8,0,0,0,Eom
15,15502,12256,12288,0,-1,-1,26,15248,2335,8,0,0,0,Eom
16,16502,12256,12288,0,-1,-1,24,14957,2573,8,0,0,0,Eom
17,17502,12256,12288,0,-1,-1,27,13637,2049,8,0,0,0,Eom
18,18502,12256,12288,0,-1,-1,21,16456,3127,8,0,0,0,Eom
19,19502,12256,12288,0,-1,-1,22,15367,2458,8,0,0,0,Eom
20,20502,12256,12288,0,-1,-1,25,16265,3121,8,0,0,0,Eom
21,21502,12256,12288,0,-1,-1,29,15268,3289,8,0,0,0,Eom
22,22502,12256,12288,0,-1,-1,21,14852,2003,8,0,0,0,Eom
23,23502,12256,12288,0,-1,-1,23,14281,2708,8,0,0,0,Eom
24,24502,12256,12288,0,-1,-1,31,15459,2943,8,0,0,0,Eom
25,25502,12256,7680,4576,7680,12255,15,9777,1826,5,0,0,0,SignalLost
26,26502,12256,12288,0,-1,-1,20,15203,2433,8,0,0,0,Eom
27,27502,12256,12288,0,-1,-1,30,14712,3004,8,0,0,0,Eom
28,28502,12256,12288,0,-1,-1,23,14387,2435,8,0,0,0,Eom
29,29502,12256,12288,0,-1,-1,19,14945,2322,8,0,0,0,Eom
30,30502,12256,12288,0,-1,-1,38,16281,3380,8,0,0,0,Eom
31,31502,12256,12288,0,-1,-1,24,15812,3403,8,0,0,0,Eom
32,32502,12256,12288,0,-1,-1,33,15263,3063,8,0,0,0,Eom
33,33502,12256,12288,0,-1,-1,29,16060,3315,8,0,0,0,Eom
34,34502,12256,12288,0,-1,-1,26,14802,2859,8,0,0,0,Eom
35,35502,12256,12288,0,-1,-1,26,14743,3503,8,0,0,0,Eom
36,36502,12256,12288,0,-1,-1,26,15279,2925,8,0,0,0,Eom
37,37502,12256,12288,0,-1,-1,32,15783,3177,8,0,0,0,Eom
38,38502,12256,12288,0,-1,-1,28,15314,3435,8,0,0,0,Eom
39,39502,12256,12288,0,-1,-1,25,15330,2749,8,0,0,0,Eom
40,40502,12256,7680,4576,7680,12255,17,9051,1966,5,0,0,0,SignalLost
41,41502,12256,1536,10720,1536,12255,3,1665,308,1,0,0,0,SignalLost
42,42502,12256,12288,0,-1,-1,22,14002,1936,8,0,0,0,Eom
43,43502,12256,12288,0,-1,-1,26,14218,2645,8,0,0,0,Eom
44,44502,12256,4608,7648,4608,12255,12,5554,1092,3,0,0,0,SignalLost
45,45502,12256,12288,0,-1,-1,28,16014,3605,8,0,0,0,Eom
46,46502,12256,12288,0,-1,-1,20,14576,1840,8,0,0,0,Eom
47,47502,12256,12288,0,-1,-1,23,13062,1961,8,0,0,0,Eom
48,48502,12256,12288,0,-1,-1,24,15417,2388,8,0,0,0,Eom
49,49502,12256,12288,0,-1,-1,30,14351,1971,8,0,0,0,Eom
50,50502,12256,12288,0,-1,-1,21,15513,3048,8,0,0,0,Eom
51,51502,12256,12288,0,-1,-1,24,14890,2911,8,0,0,0,Eom
52,52502,12256,12288,0,-1,-1,25,14266,2750,8,0,0,0,Eom
53,53502,12256,12288,0,-1,-1,31,13913,1876,8,0,0,0,Eom
54,54502,12256,12288,0,-1,-1,22,14520,2080,8,0,0,0,Eom
55,55502,12256,12288,0,-1,-1,26,15139,3434,8,0,0,0,Eom
56,56502,12256,12288,0,-1,-1,28,15041,2950,8,0,0,0,Eom
57,57502,12256,12288,0,-1,-1,32,13900,3320,8,0,0,0,Eom
58,58502,12256,12288,0,-1,-1,18,14707,3108,8,0,0,0,Eom
59,59502,12256,12288,0,-1,-1,27,14517,2122,8,0,0,0,Eom
60,60502,12256,12288,0,-1,-1,26,15302,2256,8,0,0,0,Eom
61,61502,12256,12288,0,-1,-1,21,15347,2584,8,0,0,0,Eom
