burst,channelSeed,bits,decoded,errors,firstErr,lastErr,collapses,uncodedErrs,deepFadeErrs,turboC,turboR,turboA,turboS,reason
0,503,24544,24576,0,-1,-1,17,11915,1405,8,0,0,0,Eom
1,1503,24544,24576,0,-1,-1,30,12480,2755,8,0,0,0,Eom
2,2503,24544,24576,6,18940,18949,20,12984,2415,8,0,0,0,Eom
3,3503,24544,24576,0,-1,-1,19,11878,2227,8,0,0,0,Eom
4,4503,24544,24576,5,3417,3423,21,12272,1786,8,0,0,0,Eom
5,5503,24544,24576,54,3271,5297,19,13555,2402,8,0,0,0,Eom
6,6503,24544,24576,0,-1,-1,20,12103,2319,8,0,0,0,Eom
7,7503,24544,24576,0,-1,-1,14,12656,1835,8,0,0,0,Eom
8,8503,24544,24576,25,6240,15710,24,12644,2932,8,0,0,0,Eom
9,9503,24544,24576,6,1989,1999,16,12066,2269,8,0,0,0,Eom
10,10503,24544,24576,3,13558,13560,25,12986,3186,8,0,0,0,Eom
11,11503,24544,24576,0,-1,-1,17,12396,2772,8,0,0,0,Eom
12,12503,24544,24576,10,6887,18230,19,13295,2491,8,0,0,0,Eom
13,13503,24544,24576,21,6551,9184,21,12973,2916,8,0,0,0,Eom
14,14503,24544,24576,0,-1,-1,17,11637,2529,8,0,0,0,Eom
15,15503,24544,24576,13,10585,20716,22,12825,2019,8,0,0,0,Eom
16,16503,24544,24576,0,-1,-1,27,12612,3254,8,0,0,0,Eom
17,17503,24544,24576,0,-1,-1,25,13200,2875,8,0,0,0,Eom
18,18503,24544,24576,0,-1,-1,25,11985,2572,8,0,0,0,Eom
19,19503,24544,24576,0,-1,-1,16,11490,2282,8,0,0,0,Eom
20,20503,24544,24576,0,-1,-1,26,12174,1937,8,0,0,0,Eom
21,21503,24544,24576,0,-1,-1,23,12987,2240,8,0,0,0,Eom
22,22503,24544,15360,9184,15360,24543,16,7645,1051,5,0,0,0,SignalLost
23,23503,24544,24576,0,-1,-1,19,13552,2657,8,0,0,0,Eom
24,24503,24544,24576,0,-1,-1,22,12554,2579,8,0,0,0,Eom
25,25503,24544,24576,0,-1,-1,23,11925,2270,8,0,0,0,Eom
26,26503,24544,24576,8,21710,21719,12,11396,1859,8,0,0,0,Eom
27,27503,24544,24576,0,-1,-1,19,12265,2693,8,0,0,0,Eom
28,28503,24544,24576,0,-1,-1,20,11421,1904,8,0,0,0,Eom
29,29503,24544,24576,3,4326,4330,20,11742,1573,8,0,0,0,Eom
30,30503,24544,24576,0,-1,-1,17,12318,2140,8,0,0,0,Eom
