burst,channelSeed,bits,decoded,errors,firstErr,lastErr,collapses,uncodedErrs,deepFadeErrs,turboC,turboR,turboA,turboS,reason
0,1000503,24544,24576,0,-1,-1,24,13060,2534,8,0,0,0,Eom
1,1001503,24544,24576,4,18031,18036,21,12560,1976,8,0,0,0,Eom
2,1002503,24544,24576,0,-1,-1,33,13402,3410,8,0,0,0,Eom
3,1003503,24544,24576,10,10439,10450,26,12324,2232,8,0,0,0,Eom
4,1004503,24544,24576,0,-1,-1,21,12626,2717,8,0,0,0,Eom
5,1005503,24544,24576,5,9913,9972,18,11316,1878,8,0,0,0,Eom
6,1006503,24544,24576,15,6897,22425,24,13602,2203,8,0,0,0,Eom
7,1007503,24544,24576,0,-1,-1,20,11566,2076,8,0,0,0,Eom
8,1008503,24544,24576,0,-1,-1,25,12546,2996,8,0,0,0,Eom
9,1009503,24544,24576,0,-1,-1,24,12876,2958,8,0,0,0,Eom
10,1010503,24544,24576,0,-1,-1,23,12509,2461,8,0,0,0,Eom
11,1011503,24544,24576,0,-1,-1,26,13866,3283,8,0,0,0,Eom
12,1012503,24544,24576,0,-1,-1,30,12835,3260,8,0,0,0,Eom
13,1013503,24544,24576,0,-1,-1,23,11275,1645,8,0,0,0,Eom
14,1014503,24544,24576,0,-1,-1,17,12358,1806,8,0,0,0,Eom
15,1015503,24544,18432,6112,18432,24543,17,9150,2179,6,0,0,0,SignalLost
16,1016503,24544,24576,20,8138,18208,23,12655,2975,8,0,0,0,Eom
17,1017503,24544,24576,9,13924,14541,18,13032,2619,8,0,0,0,Eom
18,1018503,24544,24576,2,11895,11897,20,12258,1801,8,0,0,0,Eom
19,1019503,24544,24576,0,-1,-1,23,12278,2974,8,0,0,0,Eom
20,1020503,24544,24576,0,-1,-1,18,12170,1852,8,0,0,0,Eom
21,1021503,24544,24576,0,-1,-1,19,12754,1966,8,0,0,0,Eom
22,1022503,24544,24576,0,-1,-1,19,12736,3176,8,0,0,0,Eom
23,1023503,24544,24576,0,-1,-1,22,12451,2568,8,0,0,0,Eom
24,1024503,24544,24576,0,-1,-1,21,12467,2177,8,0,0,0,Eom
25,1025503,24544,24576,0,-1,-1,20,12159,1913,8,0,0,0,Eom
26,1026503,24544,24576,0,-1,-1,19,11885,1953,8,0,0,0,Eom
27,1027503,24544,24576,6,12630,12639,28,12829,2579,8,0,0,0,Eom
28,1028503,24544,24576,15,932,11215,27,13968,4472,8,0,0,0,Eom
29,1029503,24544,24576,0,-1,-1,19,13446,2149,8,0,0,0,Eom
30,1030503,24544,24576,0,-1,-1,21,12664,2333,8,0,0,0,Eom
