index,p0re,p0im,p1re,p1im
1478,0.10532,0.18783,-0.47542,0.42697
1479,0.06064,0.22837,-0.51322,0.40458
1480,0.01702,0.26852,-0.54943,0.38265
1481,-0.02521,0.30819,-0.58390,0.36113
1482,-0.06597,0.34722,-0.61644,0.34018
1483,-0.10501,0.38529,-0.64690,0.31987
1484,-0.14194,0.42239,-0.67538,0.30021
1485,-0.17670,0.45844,-0.70175,0.28124
1486,-0.20903,0.49320,-0.72584,0.26304
1487,-0.23873,0.52666,-0.74759,0.24567
1488,-0.26566,0.55870,-0.76710,0.22915
1489,-0.28958,0.58907,-0.78430,0.21366
1490,-0.31030,0.61791,-0.79909,0.19911
1491,-0.32771,0.64491,-0.81147,0.18561
1492,-0.34173,0.67024,-0.82150,0.17315
1493,-0.35226,0.69376,-0.82910,0.16187
1494,-0.35918,0.71550,-0.83436,0.15180
1495,-0.36241,0.73540,-0.83723,0.14291
1496,-0.36195,0.75352,-0.83781,0.13530
1497,-0.35786,0.76986,-0.83610,0.12900
1498,-0.35006,0.78436,-0.83218,0.12417
1499,-0.33852,0.79721,-0.82616,0.12069
1500,-0.32337,0.80850,-0.81811,0.11859
1501,-0.30468,0.81818,-0.80803,0.11806
1502,-0.28265,0.82644,-0.79606,0.11885
1503,-0.25720,0.83327,-0.78221,0.12116
1504,-0.22863,0.83887,-0.76680,0.12493
1505,-0.19706,0.84324,-0.74966,0.13008
1506,-0.16262,0.84664,-0.73104,0.13671
1507,-0.12556,0.84910,-0.71110,0.14479
1508,-0.08597,0.85083,-0.68971,0.15427
1509,-0.04428,0.85190,-0.66730,0.16513
1510,-0.00055,0.85233,-0.64374,0.17734
1511,0.04475,0.85243,-0.61923,0.19085
1512,0.09173,0.85231,-0.59385,0.20552
1513,0.13977,0.85206,-0.56779,0.22138
1514,0.18878,0.85187,-0.54100,0.23836
1515,0.23849,0.85182,-0.51358,0.25638
1516,0.28858,0.85193,-0.48576,0.27526
1517,0.33867,0.85236,-0.45746,0.29505
1518,0.38868,0.85318,-0.42887,0.31558
1519,0.43830,0.85452,-0.40004,0.33676
1520,0.48716,0.85647,-0.37105,0.35847
1521,0.53515,0.85897,-0.34216,0.38064
1522,0.58200,0.86210,-0.31333,0.40305
1523,0.62740,0.86591,-0.28450,0.42572
1524,0.67115,0.87030,-0.25587,0.44852
1525,0.71302,0.87545,-0.22744,0.47130
1526,0.75284,0.88112,-0.19924,0.49412
1527,0.79032,0.88734,-0.17136,0.51669
1528,0.82538,0.89405,-0.14391,0.53898
1529,0.85789,0.90115,-0.11687,0.56089
1530,0.88771,0.90855,-0.09038,0.58226
1531,0.91481,0.91611,-0.06440,0.60312
1532,0.93894,0.92367,-0.03902,0.62338
1533,0.95992,0.93122,-0.01425,0.64295
1534,0.97789,0.93846,0.00982,0.66176
1535,0.99278,0.94528,0.03323,0.67981
1536,1.00448,0.95150,0.05576,0.69699
1537,1.01295,0.95687,0.07743,0.71318
1538,1.01828,0.96138,0.09831,0.72854
1539,1.02049,0.96483,0.11825,0.74292
1540,1.01953,0.96693,0.13722,0.75640
1541,1.01558,0.96754,0.15515,0.76893
1542,1.00869,0.96663,0.17206,0.78067
1543,0.99875,0.96380,0.18785,0.79138
1544,0.98604,0.95895,0.20240,0.80130
1545,0.97059,0.95204,0.21579,0.81040
1546,0.95246,0.94292,0.22791,0.81865
1547,0.93195,0.93141,0.23869,0.82616
1548,0.90908,0.91743,0.24811,0.83284
1549,0.88395,0.90089,0.25610,0.83892
1550,0.85680,0.88177,0.26253,0.84442
1551,0.82767,0.86009,0.26742,0.84925
1552,0.79685,0.83584,0.27067,0.85352
1553,0.76444,0.80889,0.27243,0.85733
1554,0.73065,0.77938,0.27253,0.86069
1555,0.69560,0.74725,0.27075,0.86367
1556,0.65943,0.71272,0.26729,0.86633
1557,0.62234,0.67576,0.26196,0.86869
1558,0.58432,0.63649,0.25476,0.87065
1559,0.54590,0.59512,0.24567,0.87249
1560,0.50691,0.55171,0.23460,0.87402
1561,0.46762,0.50638,0.22154,0.87534
1562,0.42818,0.45943,0.20648,0.87635
1563,0.38865,0.41085,0.18938,0.87714
1564,0.34919,0.36094,0.17036,0.87782
1565,0.31001,0.30997,0.14922,0.87815
1566,0.27109,0.25799,0.12613,0.87817
1567,0.23255,0.20525,0.10104,0.87793
1568,0.19448,0.15187,0.07392,0.87730
1569,0.15698,0.09824,0.04486,0.87632
1570,0.12014,0.04444,0.01387,0.87488
1571,0.08397,-0.00942,-0.01905,0.87299
1572,0.04855,-0.06304,-0.05371,0.87046
1573,0.01386,-0.11634,-0.09003,0.86725
1574,-0.02008,-0.16912,-0.12817,0.86339
1575,-0.05320,-0.22114,-0.16792,0.85887
1576,-0.08547,-0.27244,-0.20903,0.85354
1577,-0.11697,-0.32281,-0.25162,0.84729
1578,-0.14770,-0.37211,-0.29545,0.84011
1579,-0.17762,-0.42027,-0.34052,0.83192
1580,-0.20674,-0.46714,-0.38653,0.82282
1581,-0.23516,-0.51282,-0.43344,0.81263
1582,-0.26298,-0.55714,-0.48105,0.80133
1583,-0.29015,-0.60000,-0.52923,0.78903
1584,-0.31675,-0.64152,-0.57785,0.77551
1585,-0.34278,-0.68160,-0.62675,0.76085
1586,-0.36837,-0.72023,-0.67563,0.74509
1587,-0.39353,-0.75738,-0.72449,0.72824
1588,-0.41828,-0.79318,-0.77312,0.71028
1589,-0.44275,-0.82753,-0.82124,0.69137
1590,-0.46684,-0.86048,-0.86869,0.67141
1591,-0.49073,-0.89196,-0.91537,0.65054
1592,-0.51447,-0.92217,-0.96094,0.62882
1593,-0.53801,-0.95108,-1.00532,0.60643
1594,-0.56147,-0.97868,-1.04837,0.58326
1595,-0.58467,-1.00500,-1.08983,0.55957
1596,-0.60773,-1.03003,-1.12965,0.53546
1597,-0.63071,-1.05380,-1.16769,0.51101
1598,-0.65361,-1.07631,-1.20372,0.48637
1599,-0.67636,-1.09758,-1.23765,0.46166
1600,-0.69889,-1.11757,-1.26928,0.43710
1601,-0.72130,-1.13630,-1.29857,0.41265
1602,-0.74349,-1.15374,-1.32534,0.38860
1603,-0.76533,-1.16991,-1.34966,0.36498
1604,-0.78698,-1.18470,-1.37135,0.34198
1605,-0.80832,-1.19802,-1.39027,0.31974
1606,-0.82929,-1.20998,-1.40648,0.29844
1607,-0.84978,-1.22030,-1.42003,0.27810
1608,-0.86976,-1.22901,-1.43071,0.25895
1609,-0.88906,-1.23607,-1.43863,0.24093
1610,-0.90783,-1.24144,-1.44382,0.22432
1611,-0.92578,-1.24503,-1.44626,0.20913
1612,-0.94296,-1.24668,-1.44604,0.19546
1613,-0.95934,-1.24641,-1.44321,0.18334
1614,-0.97479,-1.24408,-1.43773,0.17290
1615,-0.98938,-1.23950,-1.42977,0.16410
1616,-1.00295,-1.23260,-1.41936,0.15703
1617,-1.01538,-1.22342,-1.40669,0.15173
1618,-1.02672,-1.21197,-1.39184,0.14808
1619,-1.03693,-1.19802,-1.37497,0.14616
1620,-1.04603,-1.18159,-1.35613,0.14587
1621,-1.05391,-1.16255,-1.33552,0.14726
1622,-1.06079,-1.14096,-1.31329,0.15024
1623,-1.06654,-1.11669,-1.28945,0.15478
1624,-1.07117,-1.08973,-1.26436,0.16089
1625,-1.07474,-1.06012,-1.23798,0.16855
1626,-1.07733,-1.02784,-1.21058,0.17755
1627,-1.07899,-0.99285,-1.18227,0.18781
1628,-1.07961,-0.95533,-1.15334,0.19933
1629,-1.07956,-0.91517,-1.12377,0.21197
1630,-1.07878,-0.87252,-1.09375,0.22560
1631,-1.07722,-0.82739,-1.06349,0.24024
1632,-1.07512,-0.77984,-1.03309,0.25576
1633,-1.07254,-0.72997,-1.00271,0.27204
1634,-1.06970,-0.67786,-0.97246,0.28901
1635,-1.06663,-0.62365,-0.94241,0.30653
1636,-1.06344,-0.56741,-0.91277,0.32456
1637,-1.06024,-0.50932,-0.88364,0.34304
1638,-1.05715,-0.44952,-0.85505,0.36188
1639,-1.05428,-0.38809,-0.82712,0.38094
1640,-1.05176,-0.32529,-0.79997,0.40019
1641,-1.04960,-0.26113,-0.77352,0.41955
1642,-1.04796,-0.19584,-0.74801,0.43908
1643,-1.04688,-0.12972,-0.72333,0.45857
1644,-1.04660,-0.06275,-0.69976,0.47809
1645,-1.04690,0.00494,-0.67699,0.49754
1646,-1.04804,0.07305,-0.65536,0.51678
1647,-1.04986,0.14144,-0.63465,0.53586
1648,-1.05257,0.21003,-0.61494,0.55479
1649,-1.05617,0.27849,-0.59616,0.57351
1650,-1.06059,0.34683,-0.57838,0.59189
1651,-1.06583,0.41480,-0.56149,0.61006
1652,-1.07179,0.48222,-0.54549,0.62790
1653,-1.07838,0.54905,-0.53034,0.64531
1654,-1.08561,0.61504,-0.51599,0.66239
1655,-1.09336,0.68020,-0.50222,0.67908
1656,-1.10169,0.74429,-0.48919,0.69537
1657,-1.11029,0.80718,-0.47676,0.71119
1658,-1.11913,0.86882,-0.46485,0.72652
1659,-1.12805,0.92907,-0.45333,0.74132
1660,-1.13692,0.98778,-0.44210,0.75555
1661,-1.14557,1.04490,-0.43117,0.76921
1662,-1.15377,1.10031,-0.42042,0.78221
1663,-1.16151,1.15408,-0.40971,0.79460
1664,-1.16850,1.20604,-0.39901,0.80617
1665,-1.17460,1.25616,-0.38819,0.81700
1666,-1.17969,1.30431,-0.37727,0.82702
1667,-1.18349,1.35053,-0.36608,0.83616
1668,-1.18597,1.39474,-0.35462,0.84446
1669,-1.18692,1.43682,-0.34287,0.85169
1670,-1.18624,1.47691,-0.33073,0.85793
1671,-1.18369,1.51486,-0.31819,0.86298
1672,-1.17922,1.55087,-0.30513,0.86684
1673,-1.17277,1.58482,-0.29154,0.86930
1674,-1.16414,1.61664,-0.27741,0.87055
1675,-1.15325,1.64633,-0.26280,0.87042
1676,-1.14003,1.67398,-0.24763,0.86878
1677,-1.12452,1.69956,-0.23192,0.86562
1678,-1.10672,1.72324,-0.21566,0.86076
1679,-1.08654,1.74485,-0.19888,0.85430
1680,-1.06394,1.76462,-0.18159,0.84614
1681,-1.03895,1.78250,-0.16385,0.83616
1682,-1.01169,1.79853,-0.14576,0.82428
1683,-0.98215,1.81270,-0.12738,0.81054
1684,-0.95039,1.82521,-0.10862,0.79487
1685,-0.91669,1.83615,-0.08983,0.77726
1686,-0.88093,1.84541,-0.07087,0.75763
1687,-0.84349,1.85312,-0.05177,0.73609
1688,-0.80420,1.85938,-0.03270,0.71248
1689,-0.76343,1.86429,-0.01381,0.68685
1690,-0.72129,1.86784,0.00480,0.65927
1691,-0.67789,1.87016,0.02315,0.62978
1692,-0.63340,1.87131,0.04110,0.59839
1693,-0.58815,1.87141,0.05858,0.56509
1694,-0.54222,1.87043,0.07556,0.52995
1695,-0.49576,1.86853,0.09200,0.49298
1696,-0.44910,1.86578,0.10776,0.45432
1697,-0.40233,1.86225,0.12283,0.41405
1698,-0.35562,1.85797,0.13701,0.37232
1699,-0.30919,1.85314,0.15027,0.32918
1700,-0.26316,1.84751,0.16270,0.28470
1701,-0.21773,1.84146,0.17415,0.23899
1702,-0.17304,1.83497,0.18471,0.19223
1703,-0.12928,1.82799,0.19429,0.14463
1704,-0.08658,1.82067,0.20299,0.09618
1705,-0.04514,1.81299,0.21069,0.04731
1706,-0.00501,1.80486,0.21750,-0.00224
1707,0.03379,1.79651,0.22340,-0.05205
1708,0.07113,1.78778,0.22840,-0.10206
1709,0.10691,1.77882,0.23267,-0.15207
1710,0.14097,1.76953,0.23611,-0.20194
1711,0.17335,1.75998,0.23898,-0.25152
1712,0.20416,1.75014,0.24122,-0.30050
1713,0.23312,1.73994,0.24294,-0.34893
1714,0.26031,1.72934,0.24420,-0.39654
1715,0.28576,1.71836,0.24515,-0.44330
1716,0.30945,1.70691,0.24578,-0.48905
1717,0.33142,1.69496,0.24625,-0.53361
1718,0.35181,1.68249,0.24666,-0.57684
1719,0.37053,1.66939,0.24710,-0.61857
1720,0.38767,1.65560,0.24760,-0.65882
1721,0.40326,1.64094,0.24838,-0.69731
1722,0.41736,1.62560,0.24941,-0.73404
1723,0.43005,1.60934,0.25079,-0.76887
1724,0.44141,1.59216,0.25251,-0.80177
1725,0.45148,1.57396,0.25477,-0.83266
1726,0.46036,1.55462,0.25766,-0.86138
1727,0.46807,1.53406,0.26108,-0.88793
1728,0.47475,1.51230,0.26498,-0.91232
1729,0.48039,1.48924,0.26958,-0.93447
1730,0.48507,1.46483,0.27485,-0.95444
1731,0.48888,1.43907,0.28076,-0.97208
1732,0.49191,1.41192,0.28732,-0.98750
1733,0.49420,1.38330,0.29440,-1.00061
1734,0.49556,1.35306,0.30210,-1.01147
1735,0.49624,1.32138,0.31028,-1.02003
1736,0.49626,1.28814,0.31895,-1.02637
1737,0.49559,1.25342,0.32804,-1.03053
1738,0.49420,1.21725,0.33741,-1.03263
1739,0.49205,1.17955,0.34704,-1.03271
1740,0.48926,1.14038,0.35684,-1.03072
1741,0.48578,1.09987,0.36670,-1.02676
1742,0.48148,1.05799,0.37647,-1.02098
1743,0.47644,1.01485,0.38606,-1.01349
1744,0.47053,0.97038,0.39546,-1.00439
1745,0.46375,0.92480,0.40451,-0.99370
1746,0.45603,0.87817,0.41305,-0.98159
1747,0.44727,0.83061,0.42095,-0.96818
1748,0.43752,0.78213,0.42823,-0.95353
1749,0.42664,0.73291,0.43481,-0.93789
1750,0.41466,0.68297,0.44051,-0.92138
1751,0.40139,0.63241,0.44523,-0.90403
1752,0.38678,0.58144,0.44903,-0.88608
1753,0.37081,0.53006,0.45179,-0.86759
1754,0.35344,0.47849,0.45342,-0.84879
1755,0.33455,0.42678,0.45394,-0.82977
1756,0.31419,0.37517,0.45312,-0.81071
1757,0.29237,0.32363,0.45121,-0.79172
1758,0.26894,0.27219,0.44812,-0.77304
1759,0.24392,0.22119,0.44398,-0.75466
1760,0.21734,0.17056,0.43870,-0.73659
1761,0.18918,0.12046,0.43232,-0.71924
1762,0.15950,0.07094,0.42497,-0.70250
1763,0.12821,0.02217,0.41666,-0.68660
1764,0.09557,-0.02587,0.40739,-0.67158
1765,0.06141,-0.07299,0.39738,-0.65763
1766,0.02594,-0.11928,0.38680,-0.64472
1767,-0.01074,-0.16449,0.37554,-0.63284
1768,-0.04856,-0.20858,0.36381,-0.62217
1769,-0.08746,-0.25159,0.35178,-0.61267
1770,-0.12744,-0.29346,0.33952,-0.60431
1771,-0.16811,-0.33408,0.32725,-0.59727
1772,-0.20937,-0.37343,0.31516,-0.59144
1773,-0.25118,-0.41143,0.30322,-0.58681
1774,-0.29332,-0.44801,0.29170,-0.58341
1775,-0.33560,-0.48321,0.28060,-0.58116
1776,-0.37790,-0.51694,0.27022,-0.58001
1777,-0.41988,-0.54921,0.26057,-0.57985
1778,-0.46150,-0.57998,0.25188,-0.58065
1779,-0.50245,-0.60919,0.24414,-0.58235
1780,-0.54252,-0.63692,0.23750,-0.58477
1781,-0.58163,-0.66298,0.23203,-0.58792
1782,-0.61951,-0.68756,0.22783,-0.59159
1783,-0.65599,-0.71042,0.22500,-0.59573
1784,-0.69096,-0.73174,0.22367,-0.60015
1785,-0.72391,-0.75140,0.22379,-0.60480
1786,-0.75507,-0.76943,0.22533,-0.60961
1787,-0.78410,-0.78574,0.22841,-0.61432
1788,-0.81076,-0.80037,0.23301,-0.61895
1789,-0.83498,-0.81338,0.23899,-0.62332
1790,-0.85656,-0.82483,0.24644,-0.62728
1791,-0.87542,-0.83461,0.25537,-0.63083
1792,-0.89152,-0.84274,0.26563,-0.63370
1793,-0.90478,-0.84926,0.27723,-0.63584
1794,-0.91496,-0.85415,0.29000,-0.63735
1795,-0.92209,-0.85751,0.30393,-0.63802
1796,-0.92618,-0.85938,0.31892,-0.63780
1797,-0.92718,-0.85967,0.33476,-0.63660
1798,-0.92504,-0.85860,0.35130,-0.63439
1799,-0.91977,-0.85616,0.36858,-0.63127
1800,-0.91153,-0.85245,0.38626,-0.62716
1801,-0.90027,-0.84736,0.40434,-0.62198
1802,-0.88604,-0.84116,0.42263,-0.61580
1803,-0.86914,-0.83366,0.44112,-0.60866
1804,-0.84948,-0.82517,0.45941,-0.60065
1805,-0.82732,-0.81561,0.47741,-0.59157
1806,-0.80272,-0.80511,0.49509,-0.58170
1807,-0.77582,-0.79383,0.51225,-0.57108
1808,-0.74690,-0.78174,0.52873,-0.55971
1809,-0.71607,-0.76908,0.54441,-0.54773
1810,-0.68353,-0.75578,0.55908,-0.53512
1811,-0.64960,-0.74202,0.57272,-0.52202
1812,-0.61445,-0.72788,0.58514,-0.50869
1813,-0.57833,-0.71331,0.59618,-0.49505
1814,-0.54150,-0.69858,0.60588,-0.48124
1815,-0.50405,-0.68366,0.61409,-0.46734
1816,-0.46647,-0.66865,0.62072,-0.45349
1817,-0.42888,-0.65360,0.62557,-0.43983
1818,-0.39155,-0.63868,0.62876,-0.42639
1819,-0.35462,-0.62381,0.63029,-0.41331
1820,-0.31853,-0.60922,0.62985,-0.40068
1821,-0.28340,-0.59491,0.62777,-0.38851
1822,-0.24938,-0.58085,0.62382,-0.37687
1823,-0.21681,-0.56719,0.61802,-0.36595
1824,-0.18579,-0.55379,0.61036,-0.35571
1825,-0.15649,-0.54079,0.60104,-0.34615
1826,-0.12923,-0.52821,0.58999,-0.33738
1827,-0.10397,-0.51608,0.57724,-0.32938
1828,-0.08098,-0.50437,0.56295,-0.32217
1829,-0.06028,-0.49315,0.54718,-0.31575
1830,-0.04201,-0.48240,0.52982,-0.31024
1831,-0.02619,-0.47220,0.51120,-0.30553
1832,-0.01294,-0.46242,0.49137,-0.30153
1833,-0.00224,-0.45306,0.47036,-0.29827
1834,0.00579,-0.44415,0.44837,-0.29563
1835,0.01120,-0.43565,0.42553,-0.29360
1836,0.01400,-0.42748,0.40199,-0.29214
1837,0.01426,-0.41976,0.37786,-0.29105
1838,0.01209,-0.41241,0.35331,-0.29035
1839,0.00744,-0.40536,0.32840,-0.28990
1840,0.00040,-0.39861,0.30340,-0.28959
1841,-0.00889,-0.39209,0.27848,-0.28943
1842,-0.02027,-0.38597,0.25377,-0.28908
1843,-0.03362,-0.37999,0.22940,-0.28872
1844,-0.04893,-0.37422,0.20557,-0.28805
1845,-0.06587,-0.36864,0.18242,-0.28695
1846,-0.08449,-0.36324,0.16013,-0.28536
1847,-0.10443,-0.35797,0.13871,-0.28319
1848,-0.12570,-0.35286,0.11856,-0.28017
1849,-0.14804,-0.34792,0.09972,-0.27650
1850,-0.17128,-0.34303,0.08233,-0.27185
1851,-0.19528,-0.33824,0.06644,-0.26622
1852,-0.21974,-0.33358,0.05227,-0.25945
1853,-0.24462,-0.32909,0.03985,-0.25152
1854,-0.26967,-0.32473,0.02939,-0.24244
1855,-0.29478,-0.32054,0.02088,-0.23205
1856,-0.31988,-0.31656,0.01451,-0.22038
1857,-0.34467,-0.31270,0.01033,-0.20737
1858,-0.36901,-0.30903,0.00841,-0.19289
1859,-0.39280,-0.30564,0.00865,-0.17704
1860,-0.41582,-0.30255,0.01140,-0.15984
1861,-0.43799,-0.29969,0.01649,-0.14132
1862,-0.45920,-0.29719,0.02393,-0.12146
1863,-0.47928,-0.29498,0.03372,-0.10028
1864,-0.49807,-0.29327,0.04593,-0.07784
1865,-0.51556,-0.29199,0.06055,-0.05426
1866,-0.53161,-0.29115,0.07745,-0.02954
1867,-0.54610,-0.29089,0.09661,-0.00387
1868,-0.55890,-0.29134,0.11806,0.02279
1869,-0.57007,-0.29234,0.14157,0.05034
1870,-0.57944,-0.29400,0.16714,0.07868
1871,-0.58692,-0.29636,0.19481,0.10760
1872,-0.59256,-0.29953,0.22434,0.13702
1873,-0.59630,-0.30347,0.25563,0.16679
1874,-0.59805,-0.30826,0.28872,0.19689
1875,-0.59786,-0.31382,0.32330,0.22716
1876,-0.59560,-0.32032,0.35939,0.25749
1877,-0.59133,-0.32785,0.39677,0.28774
1878,-0.58515,-0.33617,0.43537,0.31772
1879,-0.57693,-0.34547,0.47488,0.34744
1880,-0.56669,-0.35565,0.51542,0.37672
1881,-0.55451,-0.36668,0.55675,0.40554
1882,-0.54053,-0.37868,0.59866,0.43372
1883,-0.52459,-0.39152,0.64101,0.46129
1884,-0.50688,-0.40521,0.68370,0.48809
1885,-0.48738,-0.41974,0.72668,0.51408
1886,-0.46620,-0.43504,0.76960,0.53923
1887,-0.44349,-0.45109,0.81251,0.56343
1888,-0.41924,-0.46774,0.85520,0.58672
1889,-0.39358,-0.48498,0.89753,0.60910
1890,-0.36649,-0.50279,0.93938,0.63058
1891,-0.33819,-0.52097,0.98069,0.65114
1892,-0.30882,-0.53954,1.02127,0.67079
1893,-0.27840,-0.55837,1.06112,0.68955
1894,-0.24704,-0.57736,1.10001,0.70742
1895,-0.21485,-0.59641,1.13791,0.72454
1896,-0.18201,-0.61534,1.17466,0.74085
1897,-0.14870,-0.63420,1.21025,0.75651
1898,-0.11492,-0.65295,1.24459,0.77163
1899,-0.08084,-0.67141,1.27765,0.78619
1900,-0.04660,-0.68940,1.30930,0.80032
1901,-0.01230,-0.70695,1.33939,0.81414
1902,0.02196,-0.72389,1.36809,0.82770
1903,0.05595,-0.74009,1.39527,0.84110
1904,0.08958,-0.75558,1.42072,0.85451
1905,0.12290,-0.77022,1.44460,0.86798
1906,0.15566,-0.78406,1.46673,0.88149
1907,0.18773,-0.79701,1.48723,0.89522
1908,0.21900,-0.80891,1.50611,0.90929
1909,0.24940,-0.81976,1.52317,0.92376
1910,0.27887,-0.82963,1.53855,0.93860
1911,0.30720,-0.83842,1.55209,0.95396
1912,0.33432,-0.84618,1.56395,0.96995
1913,0.36020,-0.85296,1.57407,0.98664
1914,0.38479,-0.85864,1.58241,1.00394
1915,0.40785,-0.86342,1.58902,1.02187
1916,0.42942,-0.86722,1.59392,1.04056
1917,0.44948,-0.87012,1.59716,1.05993
1918,0.46784,-0.87218,1.59874,1.08008
1919,0.48453,-0.87345,1.59860,1.10097
1920,0.49942,-0.87405,1.59683,1.12248
1921,0.51251,-0.87405,1.59352,1.14460
1922,0.52380,-0.87359,1.58861,1.16739
1923,0.53316,-0.87261,1.58204,1.19077
1924,0.54066,-0.87129,1.57395,1.21462
1925,0.54610,-0.86977,1.56441,1.23888
1926,0.54962,-0.86796,1.55340,1.26346
1927,0.55119,-0.86618,1.54092,1.28833
1928,0.55085,-0.86441,1.52701,1.31318
1929,0.54845,-0.86282,1.51172,1.33821
1930,0.54405,-0.86147,1.49503,1.36306
1931,0.53767,-0.86054,1.47709,1.38783
1932,0.52923,-0.85998,1.45770,1.41231
1933,0.51891,-0.85990,1.43704,1.43632
1934,0.50671,-0.86036,1.41497,1.45976
1935,0.49264,-0.86146,1.39172,1.48252
1936,0.47669,-0.86324,1.36714,1.50449
1937,0.45886,-0.86574,1.34126,1.52559
1938,0.43935,-0.86901,1.31413,1.54565
1939,0.41812,-0.87308,1.28580,1.56455
1940,0.39524,-0.87801,1.25618,1.58234
1941,0.37075,-0.88373,1.22529,1.59877
1942,0.34469,-0.89017,1.19318,1.61378
1943,0.31715,-0.89754,1.15984,1.62733
1944,0.28834,-0.90573,1.12532,1.63931
1945,0.25828,-0.91459,1.08958,1.64967
1946,0.22690,-0.92420,1.05260,1.65843
1947,0.19441,-0.93444,1.01433,1.66551
1948,0.16092,-0.94535,0.97488,1.67088
1949,0.12643,-0.95687,0.93422,1.67462
1950,0.09104,-0.96886,0.89238,1.67664
1951,0.05491,-0.98120,0.84933,1.67707
1952,0.01810,-0.99391,0.80515,1.67589
1953,-0.01932,-1.00681,0.75984,1.67309
1954,-0.05728,-1.01989,0.71353,1.66873
1955,-0.09568,-1.03291,0.66609,1.66296
1956,-0.13438,-1.04593,0.61770,1.65589
1957,-0.17335,-1.05874,0.56844,1.64749
1958,-0.21244,-1.07137,0.51814,1.63785
1959,-0.25160,-1.08359,0.46691,1.62727
1960,-0.29084,-1.09532,0.41500,1.61574
1961,-0.32988,-1.10648,0.36239,1.60342
1962,-0.36875,-1.11708,0.30923,1.59038
1963,-0.40748,-1.12687,0.25550,1.57676
1964,-0.44591,-1.13589,0.20135,1.56272
1965,-0.48391,-1.14394,0.14691,1.54838
1966,-0.52157,-1.15100,0.09210,1.53378
1967,-0.55858,-1.15702,0.03722,1.51910
1968,-0.59494,-1.16195,-0.01764,1.50447
1969,-0.63073,-1.16585,-0.07237,1.49003
1970,-0.66578,-1.16845,-0.12693,1.47571
1971,-0.69997,-1.16985,-0.18109,1.46178
1972,-0.73320,-1.17002,-0.23468,1.44815
1973,-0.76561,-1.16898,-0.28772,1.43492
1974,-0.79698,-1.16665,-0.34003,1.42225
1975,-0.82727,-1.16296,-0.39138,1.41002
1976,-0.85643,-1.15814,-0.44175,1.39833
1977,-0.88441,-1.15206,-0.49107,1.38721
1978,-0.91099,-1.14484,-0.53916,1.37657
1979,-0.93623,-1.13652,-0.58592,1.36644
1980,-0.95993,-1.12705,-0.63118,1.35667
1981,-0.98212,-1.11653,-0.67492,1.34729
1982,-1.00271,-1.10502,-0.71705,1.33823
1983,-1.02153,-1.09254,-0.75743,1.32942
1984,-1.03848,-1.07918,-0.79595,1.32079
1985,-1.05344,-1.06503,-0.83271,1.31209
1986,-1.06644,-1.05015,-0.86751,1.30334
1987,-1.07720,-1.03456,-0.90030,1.29447
1988,-1.08583,-1.01853,-0.93105,1.28520
1989,-1.09208,-1.00192,-0.95981,1.27550
1990,-1.09608,-0.98489,-0.98638,1.26528
1991,-1.09747,-0.96754,-1.01100,1.25430
1992,-1.09632,-0.94987,-1.03346,1.24259
1993,-1.09255,-0.93191,-1.05394,1.22985
1994,-1.08598,-0.91384,-1.07246,1.21610
1995,-1.07664,-0.89571,-1.08881,1.20108
1996,-1.06453,-0.87744,-1.10332,1.18475
1997,-1.04955,-0.85927,-1.11590,1.16692
1998,-1.03161,-0.84113,-1.12666,1.14759
1999,-1.01076,-0.82309,-1.13553,1.12664
2000,-0.98704,-0.80521,-1.14280,1.10401
2001,-0.96038,-0.78742,-1.14839,1.07955
2002,-0.93092,-0.76979,-1.15231,1.05322
2003,-0.89871,-0.75233,-1.15481,1.02493
2004,-0.86371,-0.73505,-1.15584,0.99473
2005,-0.82613,-0.71788,-1.15550,0.96268
2006,-0.78597,-0.70080,-1.15392,0.92865
2007,-0.74341,-0.68383,-1.15116,0.89251
2008,-0.69863,-0.66695,-1.14724,0.85447
2009,-0.65175,-0.65021,-1.14229,0.81453
2010,-0.60291,-0.63345,-1.13644,0.77264
2011,-0.55237,-0.61670,-1.12963,0.72884
2012,-0.50034,-0.59987,-1.12195,0.68321
2013,-0.44711,-0.58300,-1.11352,0.63576
2014,-0.39280,-0.56596,-1.10427,0.58662
2015,-0.33764,-0.54862,-1.09431,0.53579
2016,-0.28196,-0.53106,-1.08364,0.48353
2017,-0.22616,-0.51313,-1.07232,0.42969
2018,-0.17039,-0.49485,-1.06035,0.37448
2019,-0.11488,-0.47613,-1.04776,0.31791
2020,-0.05996,-0.45700,-1.03458,0.26015
2021,-0.00590,-0.43728,-1.02077,0.20136
2022,0.04689,-0.41712,-1.00623,0.14158
2023,0.09829,-0.39626,-0.99121,0.08083
2024,0.14793,-0.37475,-0.97550,0.01935
2025,0.19552,-0.35261,-0.95910,-0.04288
2026,0.24094,-0.32980,-0.94192,-0.10559
2027,0.28387,-0.30628,-0.92409,-0.16879
2028,0.32412,-0.28210,-0.90550,-0.23241
2029,0.36139,-0.25704,-0.88611,-0.29631
2030,0.39565,-0.23137,-0.86592,-0.36031
2031,0.42660,-0.20497,-0.84492,-0.42434
2032,0.45420,-0.17791,-0.82289,-0.48831
2033,0.47825,-0.15016,-0.80001,-0.55223
2034,0.49868,-0.12187,-0.77607,-0.61596
2035,0.51549,-0.09296,-0.75133,-0.67923
2036,0.52849,-0.06355,-0.72553,-0.74206
