index,p0re,p0im,p1re,p1im
128,0.92863,-0.38763,-0.53022,-0.41340
129,0.91272,-0.41530,-0.51826,-0.37484
130,0.89666,-0.44302,-0.50505,-0.33684
131,0.88034,-0.47069,-0.49058,-0.29966
132,0.86383,-0.49799,-0.47493,-0.26346
133,0.84712,-0.52472,-0.45815,-0.22831
134,0.83019,-0.55069,-0.44043,-0.19448
135,0.81292,-0.57577,-0.42188,-0.16224
136,0.79543,-0.59977,-0.40260,-0.13173
137,0.77766,-0.62257,-0.38259,-0.10312
138,0.75949,-0.64386,-0.36206,-0.07661
139,0.74089,-0.66350,-0.34109,-0.05234
140,0.72197,-0.68139,-0.31996,-0.03043
141,0.70247,-0.69745,-0.29882,-0.01107
142,0.68242,-0.71140,-0.27764,0.00557
143,0.66166,-0.72319,-0.25676,0.01966
144,0.64022,-0.73267,-0.23623,0.03080
145,0.61800,-0.73966,-0.21612,0.03911
146,0.59496,-0.74417,-0.19671,0.04445
147,0.57096,-0.74623,-0.17809,0.04685
148,0.54617,-0.74563,-0.16037,0.04633
149,0.52038,-0.74237,-0.14363,0.04292
150,0.49348,-0.73627,-0.12793,0.03668
151,0.46562,-0.72750,-0.11360,0.02769
152,0.43670,-0.71594,-0.10055,0.01606
153,0.40673,-0.70158,-0.08893,0.00193
154,0.37560,-0.68450,-0.07882,-0.01454
155,0.34356,-0.66462,-0.07017,-0.03311
156,0.31054,-0.64216,-0.06305,-0.05356
157,0.27658,-0.61703,-0.05756,-0.07578
158,0.24167,-0.58931,-0.05368,-0.09957
159,0.20601,-0.55913,-0.05141,-0.12454
160,0.16963,-0.52663,-0.05072,-0.15040
161,0.13259,-0.49174,-0.05165,-0.17710
162,0.09509,-0.45465,-0.05401,-0.20411
163,0.05728,-0.41556,-0.05785,-0.23132
164,0.01920,-0.37443,-0.06308,-0.25838
165,-0.01896,-0.33145,-0.06956,-0.28487
166,-0.05700,-0.28678,-0.07729,-0.31066
167,-0.09475,-0.24065,-0.08601,-0.33549
