Symbol Number,In-Phase,Quadrature
0,0.959366,0.056433
1,0.959366,0.169300
2,0.846499,0.507899
3,0.959366,0.282166
4,0.846499,0.056433
5,0.846499,0.169300
6,0.846499,0.395033
7,0.846499,0.282166
8,0.959366,-0.056433
9,0.959366,-0.169300
10,0.846499,-0.507899
11,0.959366,-0.282166
12,0.846499,-0.056433
13,0.846499,-0.169300
14,0.846499,-0.395033
15,0.846499,-0.282166
16,0.169300,0.959366
17,0.056433,0.998304
18,0.733632,0.507899
19,0.733632,0.620766
20,0.733632,0.056433
21,0.733632,0.169300
22,0.733632,0.395033
23,0.733632,0.282166
24,0.169300,-0.959366
25,0.056433,-0.998304
26,0.733632,-0.507899
27,0.733632,-0.620766
28,0.733632,-0.056433
29,0.733632,-0.169300
30,0.733632,-0.395033
31,0.733632,-0.282166
32,0.507899,0.846499
33,0.507899,0.733632
34,0.507899,0.507899
35,0.507899,0.620766
36,0.507899,0.056433
37,0.507899,0.169300
38,0.507899,0.395033
39,0.507899,0.282166
40,0.507899,-0.846499
41,0.507899,-0.733632
42,0.507899,-0.507899
43,0.507899,-0.620766
44,0.507899,-0.056433
45,0.507899,-0.169300
46,0.507899,-0.395033
47,0.507899,-0.282166
48,0.282166,0.959366
49,0.620766,0.733632
50,0.620766,0.507899
51,0.620766,0.620766
52,0.620766,0.056433
53,0.620766,0.169300
54,0.620766,0.395033
55,0.620766,0.282166
56,0.282166,-0.959366
57,0.620766,-0.733632
58,0.620766,-0.507899
59,0.620766,-0.620766
60,0.620766,-0.056433
61,0.620766,-0.169300
62,0.620766,-0.395033
63,0.620766,-0.282166
64,0.056433,0.846499
65,0.056433,0.733632
66,0.056433,0.507899
67,0.056433,0.620766
68,0.056433,0.056433
69,0.056433,0.169300
70,0.056433,0.395033
71,0.056433,0.282166
72,0.056433,-0.846499
73,0.056433,-0.733632
74,0.056433,-0.507899
75,0.056433,-0.620766
76,0.056433,-0.056433
77,0.056433,-0.169300
78,0.056433,-0.395033
79,0.056433,-0.282166
80,0.169300,0.846499
81,0.169300,0.733632
82,0.169300,0.507899
83,0.169300,0.620766
84,0.169300,0.056433
85,0.169300,0.169300
86,0.169300,0.395033
87,0.169300,0.282166
88,0.169300,-0.846499
89,0.169300,-0.733632
90,0.169300,-0.507899
91,0.169300,-0.620766
92,0.169300,-0.056433
93,0.169300,-0.169300
94,0.169300,-0.395033
95,0.169300,-0.282166
96,0.395033,0.846499
97,0.395033,0.733632
98,0.395033,0.507899
99,0.395033,0.620766
100,0.395033,0.056433
101,0.395033,0.169300
102,0.395033,0.395033
103,0.395033,0.282166
104,0.395033,-0.846499
105,0.395033,-0.733632
106,0.395033,-0.507899
107,0.395033,-0.620766
108,0.395033,-0.056433
109,0.395033,-0.169300
110,0.395033,-0.395033
111,0.395033,-0.282166
112,0.282166,0.846499
113,0.282166,0.733632
114,0.282166,0.507899
115,0.282166,0.620766
116,0.282166,0.056433
117,0.282166,0.169300
118,0.282166,0.395033
119,0.282166,0.282166
120,0.282166,-0.846499
121,0.282166,-0.733632
122,0.282166,-0.507899
123,0.282166,-0.620766
124,0.282166,-0.056433
125,0.282166,-0.169300
126,0.282166,-0.395033
127,0.282166,-0.282166
128,-0.959366,0.056433
129,-0.959366,0.169300
130,-0.846499,0.507899
131,-0.959366,0.282166
132,-0.846499,0.056433
133,-0.846499,0.169300
134,-0.846499,0.395033
135,-0.846499,0.282166
136,-0.959366,-0.056433
137,-0.959366,-0.169300
138,-0.846499,-0.507899
139,-0.959366,-0.282166
140,-0.846499,-0.056433
141,-0.846499,-0.169300
142,-0.846499,-0.395033
143,-0.846499,-0.282166
144,-0.169300,0.959366
145,-0.056433,0.998304
146,-0.733632,0.507899
147,-0.733632,0.620766
148,-0.733632,0.056433
149,-0.733632,0.169300
150,-0.733632,0.395033
151,-0.733632,0.282166
152,-0.169300,-0.959366
153,-0.056433,-0.998304
154,-0.733632,-0.507899
155,-0.733632,-0.620766
156,-0.733632,-0.056433
157,-0.733632,-0.169300
158,-0.733632,-0.395033
159,-0.733632,-0.282166
160,-0.507899,0.846499
161,-0.507899,0.733632
162,-0.507899,0.507899
163,-0.507899,0.620766
164,-0.507899,0.056433
165,-0.507899,0.169300
166,-0.507899,0.395033
167,-0.507899,0.282166
168,-0.507899,-0.846499
169,-0.507899,-0.733632
170,-0.507899,-0.507899
171,-0.507899,-0.620766
172,-0.507899,-0.056433
173,-0.507899,-0.169300
174,-0.507899,-0.395033
175,-0.507899,-0.282166
176,-0.282166,0.959366
177,-0.620766,0.733632
178,-0.620766,0.507899
179,-0.620766,0.620766
180,-0.620766,0.056433
181,-0.620766,0.169300
182,-0.620766,0.395033
183,-0.620766,0.282166
184,-0.282166,-0.959366
185,-0.620766,-0.733632
186,-0.620766,-0.507899
187,-0.620766,-0.620766
188,-0.620766,-0.056433
189,-0.620766,-0.169300
190,-0.620766,-0.395033
191,-0.620766,-0.282166
192,-0.056433,0.846499
193,-0.056433,0.733632
194,-0.056433,0.507899
195,-0.056433,0.620766
196,-0.056433,0.056433
197,-0.056433,0.169300
198,-0.056433,0.395033
199,-0.056433,0.282166
200,-0.056433,-0.846499
201,-0.056433,-0.733632
202,-0.056433,-0.507899
203,-0.056433,-0.620766
204,-0.056433,-0.056433
205,-0.056433,-0.169300
206,-0.056433,-0.395033
207,-0.056433,-0.282166
208,-0.169300,0.846499
209,-0.169300,0.733632
210,-0.169300,0.507899
211,-0.169300,0.620766
212,-0.169300,0.056433
213,-0.169300,0.169300
214,-0.169300,0.395033
215,-0.169300,0.282166
216,-0.169300,-0.846499
217,-0.169300,-0.733632
218,-0.169300,-0.507899
219,-0.169300,-0.620766
220,-0.169300,-0.056433
221,-0.169300,-0.169300
222,-0.169300,-0.395033
223,-0.169300,-0.282166
224,-0.395033,0.846499
225,-0.395033,0.733632
226,-0.395033,0.507899
227,-0.395033,0.620766
228,-0.395033,0.056433
229,-0.395033,0.169300
230,-0.395033,0.395033
231,-0.395033,0.282166
232,-0.395033,-0.846499
233,-0.395033,-0.733632
234,-0.395033,-0.507899
235,-0.395033,-0.620766
236,-0.395033,-0.056433
237,-0.395033,-0.169300
238,-0.395033,-0.395033
239,-0.395033,-0.282166
240,-0.282166,0.846499
241,-0.282166,0.733632
242,-0.282166,0.507899
243,-0.282166,0.620766
244,-0.282166,0.056433
245,-0.282166,0.169300
246,-0.282166,0.395033
247,-0.282166,0.282166
248,-0.282166,-0.846499
249,-0.282166,-0.733632
250,-0.282166,-0.507899
251,-0.282166,-0.620766
252,-0.282166,-0.056433
253,-0.282166,-0.169300
254,-0.282166,-0.395033
255,-0.282166,-0.282166
