burst,channelSeed,bits,decoded,errors,firstErr,lastErr,collapses,uncodedErrs,deepFadeErrs,turboC,turboR,turboA,turboS,reason
0,2010514,202720,202752,0,-1,-1,9,30278,6868,11,0,0,0,Eom
1,2011514,202720,202752,3,26807,46907,17,39680,10773,11,0,0,0,Eom
2,2012514,202720,202752,3,158904,158908,6,35799,8008,11,0,0,0,Eom
3,2013514,202720,202752,0,-1,-1,16,43307,9047,11,0,0,0,Eom
4,2014514,202720,202752,0,-1,-1,14,38815,12411,11,0,0,0,Eom
5,2015514,202720,202752,0,-1,-1,15,40870,10571,11,0,0,0,Eom
6,2016514,202720,202752,20,158425,202279,11,43493,13272,11,0,0,0,Eom
7,2017514,202720,202752,4,26019,26026,12,35281,10801,11,0,0,0,Eom
