burst,channelSeed,bits,decoded,errors,firstErr,lastErr,collapses,uncodedErrs,deepFadeErrs,turboC,turboR,turboA,turboS,reason
0,509,540640,540672,112,148375,336149,10,190577,18582,11,0,0,0,Eom
1,1509,540640,540672,35,8344,289136,14,195937,24055,11,0,0,0,Eom
