burst,channelSeed,bits,decoded,errors,firstErr,lastErr,collapses,uncodedErrs,deepFadeErrs,turboC,turboR,turboA,turboS,reason
0,1010505,106464,106496,0,-1,-1,8,7349,2776,13,0,0,0,Eom
1,1011505,106464,106496,0,-1,-1,7,6471,2400,13,0,0,0,Eom
2,1012505,106464,106496,3,67255,67257,6,7680,2967,13,0,0,0,Eom
3,1013505,106464,106496,0,-1,-1,1,7023,2714,13,0,0,0,Eom
4,1014505,106464,106496,0,-1,-1,3,6154,2376,13,0,0,0,Eom
5,1015505,106464,106496,0,-1,-1,5,6173,2554,13,0,0,0,Eom
6,1016505,106464,106496,0,-1,-1,10,6720,3059,13,0,0,0,Eom
7,1017505,106464,106496,0,-1,-1,10,6416,2642,13,0,0,0,Eom
