burst,channelSeed,bits,decoded,errors,firstErr,lastErr,collapses,uncodedErrs,deepFadeErrs,turboC,turboR,turboA,turboS,reason
0,502,12256,12288,0,-1,-1,28,15486,2660,8,0,0,0,Eom
1,1502,12256,12288,0,-1,-1,26,15389,3046,8,0,0,0,Eom
2,2502,12256,12288,0,-1,-1,27,14758,3665,8,0,0,0,Eom
3,3502,12256,12288,0,-1,-1,27,15388,2551,8,0,0,0,Eom
4,4502,12256,12288,0,-1,-1,23,15018,2940,8,0,0,0,Eom
5,5502,12256,12288,0,-1,-1,23,14259,1811,8,0,0,0,Eom
6,6502,12256,12288,0,-1,-1,28,14114,2426,8,0,0,0,Eom
7,7502,12256,12288,0,-1,-1,32,14781,2547,8,0,0,0,Eom
8,8502,12256,12288,0,-1,-1,33,16276,2725,8,0,0,0,Eom
9,9502,12256,12288,0,-1,-1,27,14187,2978,8,0,0,0,Eom
