burst,channelSeed,bits,decoded,errors,firstErr,lastErr,collapses,uncodedErrs,deepFadeErrs,turboC,turboR,turboA,turboS,reason
0,3000503,24544,24576,14,9120,15185,18,12888,3114,8,0,0,0,Eom
1,3001503,24544,24576,0,-1,-1,24,12645,2852,8,0,0,0,Eom
2,3002503,24544,24576,0,-1,-1,16,11654,1246,8,0,0,0,Eom
3,3003503,24544,24576,0,-1,-1,14,12461,2085,8,0,0,0,Eom
4,3004503,24544,24576,3,8733,8736,18,13696,3118,8,0,0,0,Eom
