burst,channelSeed,bits,decoded,errors,firstErr,lastErr,collapses,uncodedErrs,deepFadeErrs,turboC,turboR,turboA,turboS,reason
0,3010514,202720,202752,7,159462,166140,16,39924,10423,11,0,0,0,Eom
1,3011514,202720,202752,2,139629,139630,13,40654,9353,11,0,0,0,Eom
