pass,block,bits,errBits,sumAbsRight,sumAbsWrong
first,0,32768,3843,48786.0,3149.3
smoothed,0,32768,3940,47924.5,2977.8
first,1,32768,3843,48363.8,2858.5
smoothed,1,32768,3962,46870.9,2732.4
first,2,32768,2544,52250.8,1996.9
smoothed,2,32768,2831,50650.1,2087.3
first,3,32768,4339,46531.6,3335.1
smoothed,3,32768,4547,44917.2,3136.1
first,4,32768,5361,44983.4,4531.4
smoothed,4,32768,5582,42639.6,4212.4
first,5,32768,5589,42269.8,4661.5
smoothed,5,32768,5892,39507.8,4190.4
first,6,32768,3690,48254.3,2949.0
smoothed,6,32768,3953,46230.0,2724.7
first,7,32768,3394,51787.5,2744.1
smoothed,7,32768,3507,50548.7,2719.4
first,8,32768,6683,41064.5,5120.1
smoothed,8,32768,6628,39172.8,4455.5
first,9,32768,4460,45217.0,3462.0
smoothed,9,32768,4510,43540.8,2986.9
first,10,32768,2818,51501.2,2204.4
smoothed,10,32768,2925,50852.7,2089.5
