accept@1231: best=1232 metric=0.692 walkback=1 bin=3
wid@1231.6031843685191: votes=5 margin=0.767
refine@0: groups=18 slopeHz=0.24 intercept=2.174 pw=2.23/6.5 2.05/5.5 2.41/5.8 2.15/5.1 2.17/4.7 2.38/4.4 2.23/4.0 1.91/2.9 2.10/3.3 2.30/2.9 2.20/2.3 2.37/2.2 2.10/2.0 2.83/2.6 2.21/1.5 -3.01/1.9 3.12/1.1 2.65/1.9 
refine@9216: groups=72 slopeHz=-0.49 intercept=0.487 pw=0.79/4.2 0.81/5.8 0.78/3.8 0.75/4.1 0.77/4.3 0.91/4.5 0.52/4.1 0.38/4.9 0.21/3.6 0.09/5.9 0.41/4.6 -0.08/6.0 0.25/5.1 -0.11/5.0 0.01/5.9 -0.55/6.4 -0.09/6.1 -0.20/4.8 -0.64/5.7 -0.15/6.4 -0.42/5.6 -0.51/4.7 -0.39/5.1 -0.40/4.9 -0.71/6.0 -0.74/7.1 -0.79/6.2 -0.72/7.1 -0.79/6.3 -1.07/7.0 -0.76/7.3 -0.95/6.3 -0.83/6.5 -1.15/6.6 -0.94/6.1 -1.04/5.4 -1.04/5.0 -0.98/6.4 -1.06/5.8 -0.94/5.2 -0.84/5.3 -1.17/4.1 -1.12/4.2 -1.19/4.8 -1.22/4.0 -1.12/3.5 -1.28/3.7 -1.26/3.8 -1.21/2.1 -1.16/3.5 -1.06/2.5 -1.79/2.5 -1.01/1.8 -1.04/2.8 -1.01/0.5 -1.28/1.9 -1.62/1.1 -0.46/1.3 -0.79/1.1 -0.00/0.9 1.74/0.9 0.85/1.1 1.16/1.6 1.57/1.2 1.03/1.3 2.06/1.7 1.92/1.8 1.04/2.1 1.80/3.1 1.79/2.7 1.41/3.2 1.50/3.0 
frame@13008: gain=0.485 ref=0.172 mse=0.191 tau=-0.079 omega=-6.73E-004 bad=0 tapChange=0.0159 floor=0.0159 fading=False/True preMse=0.352 energy=0.102/0.047 fresh=False phase=-0.185 anchor=0.892@-0.128 phi=0.161
frame@13104: gain=0.529 ref=0.187 mse=0.138 tau=-0.095 omega=-6.63E-004 bad=0 tapChange=0.0135 floor=0.0135 fading=False/True preMse=0.254 energy=0.111/0.049 fresh=False phase=0.028 anchor=0.968@0.015 phi=-0.019
frame@13200: gain=0.422 ref=0.204 mse=0.173 tau=-0.088 omega=-6.37E-004 bad=0 tapChange=0.0168 floor=0.0142 fading=False/True preMse=0.319 energy=0.095/0.053 fresh=False phase=0.069 anchor=0.813@0.039 phi=-0.048
frame@13296: gain=0.399 ref=0.215 mse=0.205 tau=-0.099 omega=-6.20E-004 bad=0 tapChange=0.0195 floor=0.0151 fading=False/True preMse=0.378 energy=0.073/0.055 fresh=False phase=0.037 anchor=0.779@0.027 phi=-0.033
frame@13392: gain=0.462 ref=0.225 mse=0.164 tau=-0.087 omega=-5.65E-004 bad=0 tapChange=0.0145 floor=0.0145 fading=False/True preMse=0.302 energy=0.084/0.056 fresh=False phase=0.122 anchor=0.868@0.088 phi=-0.106
frame@13488: gain=0.426 ref=0.236 mse=0.205 tau=-0.088 omega=-6.05E-004 bad=0 tapChange=0.0171 floor=0.0153 fading=False/True preMse=0.378 energy=0.066/0.057 fresh=False phase=-0.068 anchor=0.801@-0.063 phi=0.077
frame@13584: gain=0.453 ref=0.246 mse=0.192 tau=-0.075 omega=-5.75E-004 bad=0 tapChange=0.0167 floor=0.0162 fading=False/True preMse=0.355 energy=0.071/0.058 fresh=False phase=0.046 anchor=0.866@0.048 phi=-0.058
frame@13680: gain=0.458 ref=0.256 mse=0.207 tau=-0.086 omega=-5.64E-004 bad=0 tapChange=0.0178 floor=0.0171 fading=False/True preMse=0.382 energy=0.066/0.058 fresh=False phase=0.017 anchor=0.863@0.017 phi=-0.021
frame@13776: gain=0.468 ref=0.266 mse=0.139 tau=-0.092 omega=-5.50E-004 bad=0 tapChange=0.0120 floor=0.0120 fading=False/True preMse=0.257 energy=0.073/0.059 fresh=False phase=0.047 anchor=0.874@0.023 phi=-0.028
frame@13872: gain=0.424 ref=0.276 mse=0.283 tau=-0.084 omega=-5.64E-004 bad=0 tapChange=0.0224 floor=0.0127 fading=False/True preMse=0.522 energy=0.063/0.059 fresh=False phase=-0.038 anchor=0.794@-0.024 phi=0.028
frame@13968: gain=0.464 ref=0.284 mse=0.244 tau=-0.099 omega=-4.57E-004 bad=0 tapChange=0.0191 floor=0.0134 fading=False/True preMse=0.451 energy=0.068/0.059 fresh=False phase=0.225 anchor=0.873@0.170 phi=-0.206
