burst,channelSeed,bits,decoded,errors,firstErr,lastErr,collapses,uncodedErrs,deepFadeErrs,turboC,turboR,turboA,turboS,reason
0,1000108,405472,405504,0,-1,-1,0,1922,0,11,0,0,0,Eom
1,1001108,405472,405504,0,-1,-1,0,1989,0,11,0,0,0,Eom
