WN8 @ 23 dB baseSeed 10508 worker 1 burst 1 (channelSeed 1011509) MFB-form receiver, window [-8,18)
b0 anatomy: mean|ring|^2=4.00E-002 anchors=65 a0:E=8.59E-002@pk0 a1:E=1.11E-001@pk0 a2:E=1.75E-001@pk0 a3:E=2.59E-001@pk0 lock=//K@Hz
final-residual per block: b0:2.0837E-004 b1:2.1610E-004 b2:2.0670E-004 b3:2.1071E-004 b4:2.0714E-004 b5:2.0954E-004 b6:2.1235E-004 b7:2.0383E-004 b8:2.0526E-004 b9:2.1197E-004 b10:2.0655E-004
anchor-fit residual per block: b0:7.78E-005 b1:6.62E-005 b2:6.58E-005 b3:6.73E-005 b4:6.93E-005 b5:7.42E-005 b6:7.20E-005 b7:6.26E-005 b8:6.44E-005 b9:7.71E-005 b10:7.26E-005
truth-recon residual per block: b0:3.03E-004 b1:3.14E-004 b2:2.96E-004 b3:3.33E-004 b4:2.93E-004 b5:3.24E-004 b6:3.13E-004 b7:2.87E-004 b8:2.90E-004 b9:3.10E-004 b10:3.01E-004
R0 coded errors 92798/540672: b0:2135 b1:10221 b2:11217 b3:9007 b4:7740 b5:7922 b6:7327 b7:5525 b8:9979 b9:11398 b10:10327
R1 coded errors 14597/540672: b0:23 b1:2579 b2:858 b3:1156 b4:457 b5:681 b6:909 b7:295 b8:3003 b9:2787 b10:1849
R2 coded errors 1937/540672: b0:0 b1:478 b2:12 b3:76 b4:0 b5:40 b6:42 b7:10 b8:705 b9:297 b10:277
R3 coded errors 303/540672: b0:0 b1:96 b2:0 b3:0 b4:0 b5:0 b6:6 b7:0 b8:178 b9:19 b10:4
R4 coded errors 24/540672: b0:0 b1:15 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:9 b9:0 b10:0
R5 coded errors 27/540672: b0:0 b1:27 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R6 coded errors 15/540672: b0:0 b1:15 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R7 coded errors 27/540672: b0:0 b1:27 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R8 coded errors 15/540672: b0:0 b1:15 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R9 coded errors 27/540672: b0:0 b1:27 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R10 coded errors 15/540672: b0:0 b1:15 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R11 coded errors 21/540672: b0:0 b1:21 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R12 coded errors 9/540672: b0:0 b1:9 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R13 coded errors 8/540672: b0:0 b1:8 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R14 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R15 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R16 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R17 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R18 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R19 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R20 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R21 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R22 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R23 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R24 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R25 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R26 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R27 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R28 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R29 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R30 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R31 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R32 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R33 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R34 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R35 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R36 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R37 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R38 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R39 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R40 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R41 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R42 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R43 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R44 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R45 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R46 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R47 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R48 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R49 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R50 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R51 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R52 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R53 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R54 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R55 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R56 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R57 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R58 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R59 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R60 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R61 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R62 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R63 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R64 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R65 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R66 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R67 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R68 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R69 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R70 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R71 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R72 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R73 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R74 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R75 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R76 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R77 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R78 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R79 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R80 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R81 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R82 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R83 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R84 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R85 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R86 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R87 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R88 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R89 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R90 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R91 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R92 coded errors 0/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
