WN8 @ 23 dB baseSeed 10508 worker 3 burst 0 (channelSeed 3010509) MFB-form receiver, window [-8,18)
b0 anatomy: mean|ring|^2=4.51E-002 anchors=65 a0:E=3.89E-002@pk10 a1:E=4.93E-002@pk0 a2:E=7.45E-002@pk0 a3:E=7.61E-002@pk0 lock=//K@Hz
final-residual per block: b0:2.0498E-004 b1:2.0767E-004 b2:2.0649E-004 b3:2.0658E-004 b4:2.0923E-004 b5:2.0864E-004 b6:2.0444E-004 b7:2.1253E-004 b8:2.1163E-004 b9:2.2876E-004 b10:2.1116E-004
anchor-fit residual per block: b0:7.43E-005 b1:7.07E-005 b2:7.13E-005 b3:6.90E-005 b4:6.74E-005 b5:6.52E-005 b6:7.16E-005 b7:7.11E-005 b8:6.71E-005 b9:7.42E-005 b10:7.20E-005
truth-recon residual per block: b0:2.90E-004 b1:3.03E-004 b2:3.02E-004 b3:2.94E-004 b4:3.02E-004 b5:2.99E-004 b6:2.93E-004 b7:3.57E-004 b8:3.00E-004 b9:2.98E-004 b10:3.07E-004
R0 coded errors 71110/540672: b0:13030 b1:6746 b2:6054 b3:2528 b4:5818 b5:2453 b6:7800 b7:8160 b8:7664 b9:8713 b10:2144
R1 coded errors 11092/540672: b0:4813 b1:448 b2:160 b3:15 b4:143 b5:61 b6:356 b7:557 b8:1378 b9:3121 b10:40
R2 coded errors 2489/540672: b0:1358 b1:8 b2:0 b3:0 b4:0 b5:6 b6:0 b7:9 b8:141 b9:967 b10:0
R3 coded errors 582/540672: b0:263 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:12 b9:307 b10:0
R4 coded errors 168/540672: b0:68 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:6 b9:94 b10:0
R5 coded errors 103/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:103 b10:0
R6 coded errors 60/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:60 b10:0
R7 coded errors 95/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:95 b10:0
R8 coded errors 60/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:60 b10:0
R9 coded errors 95/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:95 b10:0
R10 coded errors 34/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:34 b10:0
R11 coded errors 62/540672: b0:0 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:62 b10:0
