0,48,0.332,0.0633,0.445
1,28,0.307,0.0657,0.711
2,101,0.244,0.1139,1.206
3,6,0.224,0.1465,1.322
4,1,0.248,0.1328,0.862
5,0,0.523,0.0322,0.408
6,0,0.530,0.0132,0.202
7,0,0.638,0.0116,0.133
8,3,0.531,0.0065,0.112
9,4,0.539,0.0121,0.186
10,0,0.507,0.0156,0.257
11,4,0.501,0.0171,0.225
12,1,0.608,0.0120,0.210
13,0,0.603,0.0062,0.126
14,7,0.520,0.0063,0.123
15,0,0.476,0.0103,0.132
16,20,0.439,0.0138,0.450
17,86,0.446,0.0236,0.621
18,27,0.432,0.0291,0.355
19,44,0.289,0.0568,0.554
20,81,0.130,0.1159,1.320
21,0,0.030,0.0000,1.665
22,0,0.368,0.1475,0.286
23,0,0.401,0.0486,0.241
24,0,0.420,0.0251,0.201
25,0,0.471,0.0131,0.186
26,0,0.359,0.0250,0.253
27,56,0.135,0.0429,0.676
28,49,0.139,0.1894,1.589
29,122,0.118,0.0000,0.869
30,61,0.374,0.1581,0.195
31,29,0.469,0.0238,0.153
32,14,0.374,0.0317,0.222
33,55,0.336,0.0327,0.281
34,43,0.297,0.0314,0.433
35,35,0.381,0.0387,0.509
36,127,0.428,0.0596,1.062
37,14,0.447,0.1086,1.468
38,0,0.568,0.2131,1.610
39,0,0.436,0.0845,0.540
40,0,0.466,0.0376,0.299
41,0,0.252,0.1104,0.688
42,26,0.186,0.1563,0.690
43,14,0.200,0.1627,0.643
44,47,0.223,0.0931,0.773
45,107,0.189,0.0580,1.019
46,129,0.265,0.1551,0.939
47,15,0.415,0.0520,0.398
48,14,0.421,0.0232,0.279
49,34,0.387,0.0236,0.359
50,67,0.437,0.0216,0.409
51,118,0.245,0.0720,0.705
52,21,0.067,0.1315,1.151
53,4,0.094,0.0000,1.421
54,1,0.387,0.1179,0.292
55,9,0.399,0.0486,0.300
56,11,0.293,0.0446,0.570
57,48,0.393,0.0997,1.108
58,91,0.587,0.0477,0.455
59,29,0.605,0.0393,0.377
60,0,0.602,0.0773,0.390
61,0,0.557,0.0464,0.279
62,0,0.506,0.0320,0.211
63,0,0.622,0.0215,0.144
