burst,channelSeed,bits,decoded,errors,firstErr,lastErr,collapses,uncodedErrs,deepFadeErrs,turboC,turboR,turboA,turboS,reason
0,2010514,202720,202752,0,-1,-1,6,25844,6158,11,0,0,0,Eom
1,2011514,202720,202752,5,23187,26808,14,32750,9617,11,0,0,0,Eom
2,2012514,202720,202752,3,158904,158908,5,30060,7431,11,0,0,0,Eom
3,2013514,202720,202752,0,-1,-1,12,36731,8048,11,0,0,0,Eom
4,2014514,202720,202752,0,-1,-1,13,32888,11723,11,0,0,0,Eom
5,2015514,202720,202752,0,-1,-1,13,33585,9638,11,0,0,0,Eom
6,2016514,202720,202752,6,153960,153969,9,33667,12602,11,0,0,0,Eom
7,2017514,202720,202752,4,26019,26026,12,30031,10009,11,0,0,0,Eom
