burst,channelSeed,bits,decoded,errors,firstErr,lastErr,collapses,uncodedErrs,deepFadeErrs,turboC,turboR,turboA,turboS,reason
0,1000514,202720,202752,0,-1,-1,10,33532,8211,11,0,0,0,Eom
1,1001514,202720,202752,3,155878,155880,11,34550,10378,11,0,0,0,Eom
2,1002514,202720,202752,0,-1,-1,12,30765,6690,11,0,0,0,Eom
3,1003514,202720,202752,0,-1,-1,12,28345,6726,11,0,0,0,Eom
4,1004514,202720,202752,5,34478,34487,7,31002,6562,11,0,0,0,Eom
5,1005514,202720,202752,6,91698,188842,9,29476,7785,11,0,0,0,Eom
6,1006514,202720,202752,0,-1,-1,7,27445,7431,11,0,0,0,Eom
7,1007514,202720,202752,7,39049,39057,13,36102,10615,11,0,0,0,Eom
