WN8 @ 23 dB baseSeed 10508 worker 0 burst 0 (channelSeed 10509) MFB-form receiver, window [-17,9)
b0 anatomy: mean|ring|^2=4.30E-002 anchors=65 a0:E=8.91E-002@pk0 a1:E=1.38E-001@pk0 a2:E=1.70E-001@pk0 a3:E=1.40E-001@pk-10 lock=//K@Hz
anchor-fit residual per block: b0:7.33E-005 b1:7.20E-005 b2:7.08E-005 b3:7.06E-005 b4:6.82E-005 b5:6.76E-005 b6:7.17E-005 b7:6.43E-005 b8:6.46E-005 b9:6.22E-005 b10:6.72E-005
R38 coded errors 103/540672: b0:0 b1:0 b2:0 b3:0 b4:103 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R39 coded errors 125/540672: b0:0 b1:0 b2:0 b3:0 b4:125 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R40 coded errors 103/540672: b0:0 b1:0 b2:0 b3:0 b4:103 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R41 coded errors 125/540672: b0:0 b1:0 b2:0 b3:0 b4:125 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R42 coded errors 103/540672: b0:0 b1:0 b2:0 b3:0 b4:103 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R43 coded errors 125/540672: b0:0 b1:0 b2:0 b3:0 b4:125 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R44 coded errors 103/540672: b0:0 b1:0 b2:0 b3:0 b4:103 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R45 coded errors 125/540672: b0:0 b1:0 b2:0 b3:0 b4:125 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R46 coded errors 103/540672: b0:0 b1:0 b2:0 b3:0 b4:103 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R47 coded errors 125/540672: b0:0 b1:0 b2:0 b3:0 b4:125 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R48 coded errors 103/540672: b0:0 b1:0 b2:0 b3:0 b4:103 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R49 coded errors 125/540672: b0:0 b1:0 b2:0 b3:0 b4:125 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R50 coded errors 103/540672: b0:0 b1:0 b2:0 b3:0 b4:103 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R51 coded errors 125/540672: b0:0 b1:0 b2:0 b3:0 b4:125 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R52 coded errors 103/540672: b0:0 b1:0 b2:0 b3:0 b4:103 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R53 coded errors 125/540672: b0:0 b1:0 b2:0 b3:0 b4:125 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R54 coded errors 103/540672: b0:0 b1:0 b2:0 b3:0 b4:103 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R55 coded errors 125/540672: b0:0 b1:0 b2:0 b3:0 b4:125 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R56 coded errors 103/540672: b0:0 b1:0 b2:0 b3:0 b4:103 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R57 coded errors 125/540672: b0:0 b1:0 b2:0 b3:0 b4:125 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R58 coded errors 103/540672: b0:0 b1:0 b2:0 b3:0 b4:103 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R59 coded errors 125/540672: b0:0 b1:0 b2:0 b3:0 b4:125 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R60 coded errors 80/540672: b0:0 b1:0 b2:0 b3:0 b4:80 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R61 coded errors 69/540672: b0:0 b1:0 b2:0 b3:0 b4:69 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R62 coded errors 27/540672: b0:0 b1:0 b2:0 b3:0 b4:27 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R63 coded errors 35/540672: b0:0 b1:0 b2:0 b3:0 b4:35 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R64 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R65 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R66 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R67 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R68 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R69 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R70 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R71 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R72 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R73 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R74 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R75 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R76 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R77 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R78 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R79 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R80 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R81 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R82 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R83 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R84 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R85 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R86 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R87 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R88 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R89 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R90 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R91 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R92 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R93 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R94 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R95 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R96 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R97 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R98 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R99 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R100 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R101 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R102 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R103 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R104 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R105 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R106 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R107 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R108 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R109 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R110 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R111 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R112 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R113 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R114 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R115 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R116 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R117 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R118 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R119 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R120 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R121 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R122 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R123 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R124 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R125 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R126 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R127 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R128 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R129 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R130 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R131 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R132 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R133 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R134 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R135 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R136 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R137 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R138 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R139 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R140 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R141 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R142 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R143 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R144 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R145 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R146 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R147 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R148 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R149 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R150 coded errors 18/540672: b0:0 b1:0 b2:0 b3:0 b4:18 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R151 coded errors 32/540672: b0:0 b1:0 b2:0 b3:0 b4:32 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
