mode,channel,layer,rate,frameBytes,snrDb,levelDb,trials,successes,successRate,ciLo,ciHi,fer,codedBer,margin
freedv-datac0,Awgn,Frame,8000,60,-6,0,100,0,0,0,0.0369948,1,1,0
freedv-datac0,Awgn,Frame,8000,60,-4,0,100,0,0,0,0.0369948,1,1,0
freedv-datac0,Awgn,Frame,8000,60,-3,0,100,14,0.14,0.0852627,0.221374,0.86,0.86,0
freedv-datac0,Awgn,Frame,8000,60,-2,0,100,57,0.57,0.472152,0.662669,0.43,0.43,0
freedv-datac0,Awgn,Frame,8000,60,-1,0,100,86,0.86,0.778626,0.914737,0.14,0.14,0
freedv-datac0,Awgn,Frame,8000,60,0,0,100,97,0.97,0.915479,0.989746,0.03,0.03,0
freedv-datac0,Awgn,Frame,8000,60,2,0,100,100,1,0.963005,1,0,0,0
freedv-datac0,Awgn,Frame,8000,60,4,0,100,100,1,0.963005,1,0,0,0
