mode,channel,layer,rate,frameBytes,snrDb,levelDb,trials,successes,successRate,ciLo,ciHi,fer,codedBer,margin
freedv-datac3,Poor,Packet,8000,60,-2,0,200,48,0.24,0.186065,0.303735,0.76,0.436567,454.72
freedv-datac3,Poor,Packet,8000,60,0,0,200,135,0.675,0.607319,0.736085,0.325,0.21682,760.11
freedv-datac3,Poor,Packet,8000,60,2,0,200,178,0.89,0.839072,0.926228,0.11,0.0963442,922.04
freedv-datac3,Poor,Packet,8000,60,4,0,200,193,0.965,0.929529,0.982945,0.035,0.0305903,990.69
freedv-datac3,Poor,Packet,8000,60,6,0,200,196,0.98,0.949712,0.992196,0.02,0.02,1003.45
freedv-datac3,Poor,Packet,8000,60,8,0,200,198,0.99,0.964278,0.997253,0.01,0.01,1013.72
