mode,channel,layer,rate,frameBytes,snrDb,levelDb,trials,successes,successRate,ciLo,ciHi,fer,codedBer,margin
freedv-datac13,Awgn,Packet,8000,60,2,-60,60,60,1,0.939826,1,0,0,256
freedv-datac13,Awgn,Packet,8000,60,2,-40,60,60,1,0.939826,1,0,0,256
freedv-datac13,Awgn,Packet,8000,60,2,-20,60,60,1,0.939826,1,0,0,256
freedv-datac13,Awgn,Packet,8000,60,2,-10,60,60,1,0.939826,1,0,0,256
freedv-datac13,Awgn,Packet,8000,60,2,-6,60,60,1,0.939826,1,0,0,256
freedv-datac13,Awgn,Packet,8000,60,2,0,60,60,1,0.939826,1,0,0,256
freedv-datac13,Awgn,Packet,8000,60,2,6,60,60,1,0.939826,1,0,0,256
freedv-datac13,Awgn,Packet,8000,60,2,12,60,60,1,0.939826,1,0,0,256
freedv-datac13,Awgn,Packet,8000,60,2,20,60,60,1,0.939826,1,0,0,256
freedv-datac13,Awgn,Packet,8000,60,-3,-60,60,60,1,0.939826,1,0,0,255.95
freedv-datac13,Awgn,Packet,8000,60,-3,-40,60,60,1,0.939826,1,0,0,255.95
freedv-datac13,Awgn,Packet,8000,60,-3,-20,60,60,1,0.939826,1,0,0,255.95
freedv-datac13,Awgn,Packet,8000,60,-3,-10,60,60,1,0.939826,1,0,0,255.95
freedv-datac13,Awgn,Packet,8000,60,-3,-6,60,60,1,0.939826,1,0,0,255.95
freedv-datac13,Awgn,Packet,8000,60,-3,0,60,60,1,0.939826,1,0,0,255.95
freedv-datac13,Awgn,Packet,8000,60,-3,6,60,60,1,0.939826,1,0,0,255.95
freedv-datac13,Awgn,Packet,8000,60,-3,12,60,60,1,0.939826,1,0,0,255.967
freedv-datac13,Awgn,Packet,8000,60,-3,20,60,60,1,0.939826,1,0,0,255.95
