mode,channel,layer,rate,frameBytes,snrDb,levelDb,trials,successes,successRate,ciLo,ciHi,fer,codedBer,margin
freedv-datac1,Awgn,Packet,8000,60,10,-60,60,60,1,0.939826,1,0,0,4096
freedv-datac1,Awgn,Packet,8000,60,10,-40,60,60,1,0.939826,1,0,0,4096
freedv-datac1,Awgn,Packet,8000,60,10,-20,60,60,1,0.939826,1,0,0,4096
freedv-datac1,Awgn,Packet,8000,60,10,-10,60,60,1,0.939826,1,0,0,4096
freedv-datac1,Awgn,Packet,8000,60,10,-6,60,60,1,0.939826,1,0,0,4096
freedv-datac1,Awgn,Packet,8000,60,10,0,60,60,1,0.939826,1,0,0,4096
freedv-datac1,Awgn,Packet,8000,60,10,6,60,60,1,0.939826,1,0,0,4096
freedv-datac1,Awgn,Packet,8000,60,10,12,60,60,1,0.939826,1,0,0,4096
freedv-datac1,Awgn,Packet,8000,60,10,20,60,60,1,0.939826,1,0,0,4095.95
freedv-datac1,Awgn,Packet,8000,60,4,-60,60,60,1,0.939826,1,0,0,4095.58
freedv-datac1,Awgn,Packet,8000,60,4,-40,60,60,1,0.939826,1,0,0,4095.67
freedv-datac1,Awgn,Packet,8000,60,4,-20,60,60,1,0.939826,1,0,0,4095.67
freedv-datac1,Awgn,Packet,8000,60,4,-10,60,60,1,0.939826,1,0,0,4095.67
freedv-datac1,Awgn,Packet,8000,60,4,-6,60,60,1,0.939826,1,0,0,4095.67
freedv-datac1,Awgn,Packet,8000,60,4,0,60,60,1,0.939826,1,0,0,4095.67
freedv-datac1,Awgn,Packet,8000,60,4,6,60,60,1,0.939826,1,0,0,4095.68
freedv-datac1,Awgn,Packet,8000,60,4,12,60,60,1,0.939826,1,0,0,4095.1
freedv-datac1,Awgn,Packet,8000,60,4,20,60,57,0.95,0.862993,0.982851,0.05,7.76144E-05,4085.1
