mode,channel,layer,rate,frameBytes,snrDb,levelDb,trials,successes,successRate,ciLo,ciHi,fer,codedBer,margin
freedv-datac3,Awgn,Packet,8000,60,6,-60,60,60,1,0.939826,1,0,0,1024
freedv-datac3,Awgn,Packet,8000,60,6,-40,60,60,1,0.939826,1,0,0,1024
freedv-datac3,Awgn,Packet,8000,60,6,-20,60,60,1,0.939826,1,0,0,1024
freedv-datac3,Awgn,Packet,8000,60,6,-10,60,60,1,0.939826,1,0,0,1024
freedv-datac3,Awgn,Packet,8000,60,6,-6,60,60,1,0.939826,1,0,0,1024
freedv-datac3,Awgn,Packet,8000,60,6,0,60,60,1,0.939826,1,0,0,1024
freedv-datac3,Awgn,Packet,8000,60,6,6,60,60,1,0.939826,1,0,0,1024
freedv-datac3,Awgn,Packet,8000,60,6,12,60,60,1,0.939826,1,0,0,1023.98
freedv-datac3,Awgn,Packet,8000,60,6,20,60,60,1,0.939826,1,0,0,1023.98
freedv-datac3,Awgn,Packet,8000,60,-1,-60,60,60,1,0.939826,1,0,0,1023.95
freedv-datac3,Awgn,Packet,8000,60,-1,-40,60,60,1,0.939826,1,0,0,1023.95
freedv-datac3,Awgn,Packet,8000,60,-1,-20,60,60,1,0.939826,1,0,0,1023.95
freedv-datac3,Awgn,Packet,8000,60,-1,-10,60,60,1,0.939826,1,0,0,1023.95
freedv-datac3,Awgn,Packet,8000,60,-1,-6,60,60,1,0.939826,1,0,0,1023.95
freedv-datac3,Awgn,Packet,8000,60,-1,0,60,60,1,0.939826,1,0,0,1023.95
freedv-datac3,Awgn,Packet,8000,60,-1,6,60,60,1,0.939826,1,0,0,1023.92
freedv-datac3,Awgn,Packet,8000,60,-1,12,60,60,1,0.939826,1,0,0,1023.58
freedv-datac3,Awgn,Packet,8000,60,-1,20,60,60,1,0.939826,1,0,0,1023.32
